#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#dataproduct_type, calib_level, obs_collection, obs_id, target_name, s_ra, s_dec, t_min, t_max, t_exptime, wavelength_region, filters, em_min, em_max, target_classification, obs_title, t_obs_release, instrument_name, proposal_pi, proposal_id, proposal_type, project, sequence_number, provenance_name, s_region, jpegURL, dataURL, dataRights, mtFlag, srcDen, intentType, obsid, objID, wave_min, wave_max, wave_region
#@string, int, string, string, string, ra, dec, float, float, float, string, string, float, float, string, string, float, string, string, string, string, string, int, string, string, string, string, string, string, float, string, string, string, float, float, string
dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,wave_min,wave_max,wave_region
timeseries,3,TESS,tess2021336043614-s0046-0000000344908719-0217-s,344908719,151.36754871002,3.19333935424441,59551.0654281366,59578.20400875,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04191,,TESS,46,SPOC,CIRCLE 151.36754871 3.19333935 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000344908719-0217-s_lc.fits,PUBLIC,False,NaN,science,71496404,142817998,600,1000,Optical
image,3,PS1,rings.v3.skycell.1360.041.stk.g,1360.041,153.40031299805,1.79929310358235,55235.4253723,56661.6026842852,860,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   153.616741     1.582433  153.617168     2.015795  153.183828     2.016167  153.183515     1.582726,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/041/rings.v3.skycell.1360.041.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/041/rings.v3.skycell.1360.041.stk.g.unconv.fits,PUBLIC,,5885,science,2120911,42096242,394.299987792969,559.299987792969,OPTICAL
image,3,PS1,rings.v3.skycell.1361.047.stk.z,1361.047,154.999559501339,1.7995558629897,55236.504002,56641.6400168445,616,OPTICAL,z,802.799987792969,934.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   155.216368     1.582915  155.216161     2.016409  154.782694     2.016142  154.783015     1.582706,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1361/047/rings.v3.skycell.1361.047.stk.z.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1361/047/rings.v3.skycell.1361.047.stk.z.unconv.fits,PUBLIC,,5885,science,2121445,42096776,802.799987792969,934.599975585938,OPTICAL
image,3,PS1,rings.v3.skycell.1450.010.stk.i,1450.010,155.528243701396,4.59635788810864,55250.4130814,57024.5508457334,1298,OPTICAL,i,677.799987792969,830.400024414063,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   155.746290     4.379128  155.747908     4.812410  155.310024     4.813574  155.308753     4.380186,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1450/010/rings.v3.skycell.1450.010.stk.i.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1450/010/rings.v3.skycell.1450.010.stk.i.unconv.fits,PUBLIC,,5885,science,2165756,42141087,677.799987792969,830.400024414063,OPTICAL
image,3,PS1,rings.v3.skycell.1359.070.stk.r,1359.070,149.801506023781,2.9988544124623,55191.5343171,57007.5719329334,1924,OPTICAL,r,538.599975585938,703.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   150.017955     2.781908  150.018488     3.215046  149.585000     3.215810  149.584581     2.782568,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1359/070/rings.v3.skycell.1359.070.stk.r.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1359/070/rings.v3.skycell.1359.070.stk.r.unconv.fits,PUBLIC,,5885,science,2120558,42095889,538.599975585938,703.599975585938,OPTICAL
timeseries,3,TESS,tess2019032160000-s0008-0000000345074281-0136-s,345074281,155.163359226694,2.64381210947359,58516.8674346412,58541.5053875,120,Optical,TESS,600,1000,,,58584.5,Photometer,"Ricker, George",N/A,,TESS,8,SPOC,CIRCLE 155.16335923 2.64381211 0.00138889,,mast:TESS/product/tess2019032160000-s0008-0000000345074281-0136-s_lc.fits,PUBLIC,False,NaN,science,62464578,117299566,600,1000,Optical
image,3,PS1,rings.v3.skycell.1359.094.stk.z,1359.094,148.20026850603,3.80022543383217,55236.4380175,57017.6608343222,518,OPTICAL,z,802.799987792969,934.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   148.417246     3.583598  148.417357     4.016698  147.983233     4.016804  147.983238     3.583693,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1359/094/rings.v3.skycell.1359.094.stk.z.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1359/094/rings.v3.skycell.1359.094.stk.z.unconv.fits,PUBLIC,,5885,science,2120680,42096011,802.799987792969,934.599975585938,OPTICAL
image,3,PS1,rings.v3.skycell.1361.060.stk.i,1361.060,157.801066512432,2.59892930636144,55250.4152584,57024.5785160334,1555,OPTICAL,i,677.799987792969,830.400024414063,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   158.017463     2.381991  158.017996     2.815214  157.584613     2.815882  157.584194     2.382556,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1361/060/rings.v3.skycell.1361.060.stk.i.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1361/060/rings.v3.skycell.1361.060.stk.i.unconv.fits,PUBLIC,,5885,science,2121507,42096838,677.799987792969,830.400024414063,OPTICAL
timeseries,3,TESS,tess2018206190142-s0001-s0065-0000000277712294,277712294,153.461797485731,1.99117540482117,58516.8452471181,60013.6573434028,120,Optical,TESS,600,1000,,,60159,Photometer,"Ricker, George",N/A,,TESS,65,SPOC,CIRCLE 153.46179749 1.9911754 0.00138889,,mast:TESS/product/tess2018206190142-s0001-s0065-0000000277712294-00734_dvt.fits,PUBLIC,False,NaN,science,160349808,285633107,600,1000,Optical
image,3,PS1,rings.v3.skycell.1360.092.stk.r,1360.092,153.001522530013,3.79966991398891,55247.3721443,56682.528421863,672,OPTICAL,r,538.599975585938,703.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   153.218331     3.582885  153.218653     4.015899  152.784657     4.016429  152.784449     3.583358,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/092/rings.v3.skycell.1360.092.stk.r.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/092/rings.v3.skycell.1360.092.stk.r.unconv.fits,PUBLIC,,5885,science,2121168,42096499,538.599975585938,703.599975585938,OPTICAL
